W,Kper9,IP,ERA,WHIP,Inducted
117,5.39,1973.1,4.06,1.41,N
101,5.30,1967.9,4.24,1.47,N
150,5.32,1967.3,3.02,1.21,Y
130,2.72,1963.4,4.42,1.50,N
114,5.15,1961.6,3.68,1.25,N
130,7.64,1959.8,4.13,1.25,N
111,6.28,1959.1,3.89,1.30,N
132,7.52,1959.0,3.66,1.33,N
109,5.75,1958.2,3.79,1.30,N
102,5.75,1956.3,4.48,1.49,N
143,2.38,1954.7,3.76,1.33,N
129,5.72,1954.6,4.51,1.42,N
118,4.48,1952.4,3.69,1.40,N
111,3.37,1951.5,4.18,1.45,N
96,4.39,1951.4,3.99,1.37,N
111,5.20,1951.0,3.35,1.22,N
142,4.94,1950.4,3.75,1.33,N
119,3.30,1944.3,3.62,1.36,N
104,6.05,1939.5,3.64,1.34,N
119,4.98,1935.7,3.38,1.26,N
100,3.42,1932.9,3.42,1.25,N
120,7.96,1926.0,3.07,1.32,N
110,4.02,1924.4,3.69,1.22,N
123,4.69,1921.0,3.94,1.27,N
107,4.20,1920.4,4.29,1.43,N
100,4.74,1919.3,3.74,1.34,N
130,3.84,1918.0,4.27,1.39,N
116,3.60,1916.3,2.75,1.27,N
127,4.71,1915.4,4.38,1.46,N
134,4.81,1915.0,3.74,1.38,N
127,4.49,1914.5,3.43,1.26,N
104,2.69,1914.2,4.54,1.44,N
92,3.27,1908.1,2.63,1.15,N
126,6.06,1907.7,3.80,1.23,N
133,4.25,1907.4,2.92,1.19,N
114,2.63,1900.1,3.47,1.34,N
105,2.36,1899.9,3.44,1.31,N
119,5.97,1899.1,4.26,1.37,N
122,6.69,1898.2,3.58,1.28,N
86,7.56,1897.3,3.76,1.26,N
90,5.08,1896.2,4.89,1.56,N
135,6.77,1895.9,3.67,1.31,N
132,8.34,1892.1,3.91,1.23,N
107,4.50,1891.9,2.30,1.18,N
124,6.74,1890.3,4.24,1.31,N
127,6.25,1889.2,3.85,1.30,N
106,2.97,1888.1,3.92,1.45,N
131,6.12,1885.9,3.39,1.16,N
115,5.39,1884.2,3.65,1.33,N
97,2.72,1883.4,3.87,1.38,N
